Produto;Código (SKU);Preço Compra
Cerca Elétrica Pet Sentinela – Proteção Segura para Cães e Gatos 30km Bivolt;ELE-PET-SEN;78
ELET. DE CERCA MOD. 38 KM BVA ;ELE-38KM-SEN;81
Eletrificador Cerca Elétrica Rural 30km Sentinela;ELE-30KM-SEN;68
ELETRIFICADOR DE CERCA SENTINELA MOD. ST 150KM BVA ;ELE-150KM-SEN;203,6
ELETRIFICADOR DE CERCA SENTINELA MOD. ST 300KM BVA ;ELE-300KM-SEN;256,53
ELETRIFICADOR DE CERCA SENTINELA MOD.ST100KM BVA ;ELE-100KM-SEN;181,5
ESTERILIZADOR DE AR STE-120 Bivolt - Branco;STE-120-BI-BRANCO;226
ESTERILIZADOR DE AR STE-120 Bivolt - Inox;STE-120-BI-INOX;226
ESTERILIZADOR DE AR STE-120 Bivolt - Preto;STE-120-BI-PRETO;226
Esterilizador de Ar Ste-36 Bi-Volt - Branco;STE36-BI-BRANCO;182
Esterilizador de Ar Ste-36 Bi-Volt - Inox;STE36-BI-INOX;183
Esterilizador de Ar Ste-36 Bi-Volt - Preto;STE36-BI-PRETO;169
Fio Eletroplástico Inox 15/3 Rolo 100mt Sentinela Para Cerca Vermelho;FIO-100M-SEN;0
FIO ELETROPLASTICO PADRÃO SENTINELA 1000 M AZUL;FIO-ELE-SEN-1000-AZUL;114,49
FIO ELETROPLASTICO PADRÃO SENTINELA 1000 M LARANJA;FIO-ELE-SEN-1000-LARANJA;109,89
FIO ELETROPLASTICO PADRÃO SENTINELA 500 M LARANJA ;FIO-ELE-SEN-500-LARANJA;59,23
IONIZADOR E OZONIZADOR AR - IZA AIR - BIVOLT GELO ;IZAAIR-MGT;132
Ionizador Priori Eletrico Piscina Ate 120.000 Litros;ION-120-REDONDO;119
Ionizador Priori Piscina Ate 15000 Litros;ION-15;99
Ionizador Priori Piscina De 15000a 40000 Litros;ION-40-PRI;109
Ionizador Priori Piscina De 40000a 60000 Litros;ION-60-PRI;119
Ozônio Portátil Tratamento Piscina Até 50.000l Priori 127v;O3-P-PRIORI;0
Parafuso Autobrocante M1.4 8mm;;0
Parafuso Titânio M4 12mm;Parafuso-Titanio-M4-12mm;0,61
PURIFICADOR DE AR BRIZZAMAR - Azul;BRIZZA-SEN-AZUL;0
PURIFICADOR DE AR BRIZZAMAR - Branco;BRIZZA-SEN-BRANCO;128
PURIFICADOR DE AR BRIZZAMAR - Preto;BRIZZA-SEN-PRETO;0
PURIFICADOR DE AR BRIZZAMAR - Rosa;BRIZZA-SEN-ROSA;0
Purificador de Ar PRIORI AIR;PRIORI-AIR;130
REPELENTE ESPANTA POMBOS REP-01 ;ESP-POM01-MGT;96,6
Suporte Aço Carbono - 15x10 Maior;SUP-AC-10X15-MAIOR;12
Suporte Aço Carbono - Aba Interna;SUP-AC-10x6-REG-AI;12
Suporte Aco carbono 5x10;SUP-AC-10x5;12
Suporte Aço Carbono Regulavel Aba Externa;SUP-AC-10x6-REG-AE;12
VOLTIMETRO DE NEON;VOL-NEON-SEN;28,17
